PVALUE,PTN,XP,YP,ZP,LSTYLE,SYMBOL,COLOUR
1,1,666882.83901956,7905450.23508027,720,1001,201,5
1,2,666820.93757176,7905515.48235722,720,1001,201,5
1,3,666775.35955153,7905577.56970996,720,1001,201,5
1,4,666801.72675395,7905642.72488398,720,1001,201,5
1,5,666777.25433333,7905636.41333333,720,1001,201,5
1,6,666765.784,7905706.261,715,1001,201,5
1,7,666977.748,7905439.197,715,1001,201,5
1,8,667033.539,7905357.176,709.229,1001,201,5
1,9,667087.59224754,7905359.48238298,705,1001,201,5
1,10,667204.812,7905364.484,695.829,1001,201,5
1,11,667262.92121182,7905413.01630264,690,1001,201,5
1,12,667276.489,7905424.348,688.639,1001,201,5
1,13,667263.98081985,7905573.83836612,690,1001,201,5
1,14,667255.93,7905670.057,690.876,1001,201,5
1,15,667256.48756137,7905661.04044735,690,1001,201,5
1,16,667261.624,7905577.977,681.93,1001,201,5
1,17,667245.89024642,7905501.31857593,675,1001,201,5
1,18,667235.476,7905450.578,670.413,1001,201,5
1,19,667187.43,7905428.424,670,1001,201,5
1,20,667132.881,7905512.85,670,1001,201,5
1,21,667108.51,7905780.534,670,1001,201,5
1,22,667076.265,7906027.563,670,1001,201,5
1,23,667053.20984161,7906074.78744635,675,1001,201,5
1,24,666984.04436644,7906216.4607854,690,1001,201,5
1,25,666931.142,7906324.822,701.473,1001,201,5
1,26,666907.97933121,7906353.77514274,705,1001,201,5
1,27,666841.243,7906437.195,715.162,1001,201,5
1,28,666812.23294928,7906476.60491561,720,1001,201,5
1,29,666732.956,7906584.302,733.221,1001,201,5
1,30,666720.05851431,7906599.62369225,735,1001,201,5
1,31,666647.56,7906685.749,745,1001,201,5
1,32,666673.713,7906712.948,745,1001,201,5
1,33,666720.33282461,7906687.00600748,750,1001,201,5
1,34,666803.428,7906640.767,758.912,1001,201,5
1,35,666873.451,7906630.824,754.245,1001,201,5
1,36,666922.13686063,7906623.91095275,751,1001,201,5
1,37,667147.18706383,7906591.95541844,736,1001,201,5
1,38,667250.005,7906577.356,729.147,1001,201,5
1,39,667787.518,7906501.032,693.321,1001,201,5
1,40,667729.603,7906717.743,693.827,1001,201,5
1,41,667487.206,7907338.77,679.789,1001,201,5
1,42,667436.989,7907448.19,681.763,1001,201,5
1,43,667892.076,7907457.091,680.638,1001,201,5
1,44,667889.273,7907597.427,684.806,1001,201,5
2,1,667889.273,7907597.427,684.806,1001,201,36
2,2,667892.076,7907457.091,680.638,1001,201,36
2,3,667436.989,7907448.19,681.763,1001,201,36
2,4,667487.206,7907338.77,679.789,1001,201,36
2,5,667729.603,7906717.743,693.827,1001,201,36
2,6,667787.518,7906501.032,693.321,1001,201,36
2,7,667250.005,7906577.356,729.147,1001,201,36
2,8,667147.18706383,7906591.95541844,736,1001,201,36
2,9,666922.13686063,7906623.91095275,751,1001,201,36
2,10,666873.451,7906630.824,754.245,1001,201,36
2,11,666803.428,7906640.767,758.912,1001,201,36
2,12,666720.33282461,7906687.00600748,750,1001,201,36
2,13,666673.713,7906712.948,745,1001,201,36
2,14,666647.56,7906685.749,745,1001,201,36
2,15,666720.05851431,7906599.62369225,735,1001,201,36
2,16,666732.956,7906584.302,733.221,1001,201,36
2,17,666812.23294928,7906476.60491561,720,1001,201,36
2,18,666841.243,7906437.195,715.162,1001,201,36
2,19,666907.97933121,7906353.77514274,705,1001,201,36
2,20,666931.142,7906324.822,701.473,1001,201,36
2,21,666984.04436644,7906216.4607854,690,1001,201,36
2,22,667053.20984161,7906074.78744635,675,1001,201,36
2,23,667076.265,7906027.563,670,1001,201,36
2,24,667108.51,7905780.534,670,1001,201,36
2,25,667132.881,7905512.85,670,1001,201,36
2,26,667187.43,7905428.424,670,1001,201,36
2,27,667235.476,7905450.578,670.413,1001,201,36
2,28,667245.89024642,7905501.31857593,675,1001,201,36
2,29,667261.624,7905577.977,681.93,1001,201,36
2,30,667256.48756137,7905661.04044735,690,1001,201,36
2,31,667255.93,7905670.057,690.876,1001,201,36
2,32,667263.98081985,7905573.83836612,690,1001,201,36
2,33,667276.489,7905424.348,688.639,1001,201,36
2,34,667262.92121182,7905413.01630264,690,1001,201,36
2,35,667204.812,7905364.484,695.829,1001,201,36
2,36,667087.59224754,7905359.48238298,705,1001,201,36
2,37,667033.539,7905357.176,709.229,1001,201,36
2,38,666977.748,7905439.197,715,1001,201,36
2,39,666765.784,7905706.261,715,1001,201,36
2,40,666777.25433333,7905636.41333333,720,1001,201,36
2,41,666801.72675395,7905642.72488398,720,1001,201,36
2,42,666775.35955153,7905577.56970996,720,1001,201,36
2,43,666820.93757176,7905515.48235722,720,1001,201,36
2,44,666882.83901956,7905450.23508027,720,1001,201,36
